userid,gender,age,ope,con,ext,agr,neu
c6a9a43058c8cc8398ca6e97324c0fae,0,47,-0.31,-0.57,-0.89,0.41,1.17
e557fd2902b857797cb8cec471f201a5,0,35,0.61,-0.12,-0.64,-1.01,-1.5
f9ed42fd1c0e0e1ecd2ba3fdb54ce6fa,1,29,-0.31,-0.94,-0.77,-1.76,1.05
eca69bfad8f4f2b193b2592248101b7f,1,28,-0.68,0.54,-0.52,-1.01,-0.51
1e4e4517e035a0d5f6dd5bfd1fe65890,0,35,-0.41,-0.86,-1.02,-0.18,0.3
789ce9b31990354f0a5a507347844dea,1,30,0.42,-0.57,-0.83,-0.59,1.42
2b822d37ee2f38166a1cbf8aae272005,1,33,-0.96,0.39,-2.02,-2.09,1.55
d86a7502ceda37201e4fd97e38b00d72,0,29,-1.24,-0.64,-0.08,0.66,-0.94
61a7d34e72501a85149c468a38a076f4,0,32,1.44,1.21,0.73,-1.26,0.11
1a4c012c71f7e0864e98ba7e029b66d3,1,35,-1.33,-0.72,0.04,-0.51,-0.14
7eb0c95dbec7f9e6f8d37e1456f8956c,1,35,0.52,1.5,1.79,-0.26,-0.45
51c9e07ea2d6776cbe6c9b9b8dbbe271,1,30,0.52,1.36,1.48,0.07,-0.2
b98b995372448f015357638c8eb6add1,0,27,0.61,1.13,-0.27,0.32,-0.94
a1ef6d3077da7d5a1ba368612105afd2,0,30,1.44,0.25,1.79,0.82,-1.07
ef740a361c4febfd07ccd42882274e48,0,29,0.89,0.91,-0.64,-1.43,-0.57
f725453818a774a816e5b17948d79093,1,28,1.35,0.02,-0.08,0.74,-0.63
ac8bf16a381d07c01b11651994ecb746,1,29,0.83,-0.57,-0.96,-0.34,1.17
12fba4c6eac3cceb176592c9e8f1f324,1,31,1.72,-1.82,0.29,1.24,1.55
4a6ef0fc11285732bde96e8863dcb7f4,1,34,1.44,-0.57,0.42,0.56,0.36
542380ac59a10aae90a25851da12307a,0,30,0.79,0.84,0.92,1.07,-2
918f65bce1ffbbaeb0e3d87fa3c365da,1,28,0.79,-0.2,-1.58,0.91,-0.14
2382eeba332f59ff29cf63a839a33f9a,0,29,-0.41,-0.57,-1.33,-1.09,1.3
d976cbd3bed546253b6594e0178dff78,1,33,0.7,-0.72,0.48,-0.43,0.11
f09a4a3e968540c43542944ccfb8d484,1,34,-0.13,-0.27,-0.08,0.66,0.24
a5d718a8822180090b011d2d27d70fb9,0,31,0.89,1.65,0.86,0.49,-1.75
f71eb854bcea89ad40ffe2d011aa2259,0,29,-0.31,-0.02,0.48,0.04,-0.94
dea0c7fabc2dacea02c40b94b2a5f9ba,0,34,-0.04,-1.31,-0.08,0.57,0.24
363219d35db5f9306d5a361d17ab369c,1,29,0.05,-0.12,-0.64,0.66,1.3
6f5c3e252f5144b1c920e3294266252f,1,28,0.79,-0.05,0.11,-0.76,1.98
34aed68950291698d43f77c4dd1fcfd0,1,28,-0.87,-0.05,-0.27,0.49,-0.45
6dd38c73fc3e607b28e8a37ec63bc4d8,1,28,1.26,1.43,0.79,1.32,-1.32
dbdfbfda2a4205bd59b22758ceddd5af,0,33,-0.31,0.69,0.36,-0.09,-0.82
715ccad4988d5a18fc68f57d14b64173,1,29,-0.31,-1.16,-0.27,-0.18,-1.09
3cd912d399b5c32c1e0c213e41792cf0,1,28,0.33,0.54,-0.64,-0.59,0.49
810c70fdd8c82cb4e0afc1e8cc62759a,0,31,0.7,-0.86,0.17,-0.26,-1.5
d4eb9d61493de34f8475504c46ea3fd9,1,28,0.33,0.84,0.04,-0.68,0.61
58db4ed3266f3d374d553121993551d9,1,31,1.35,-0.64,1.54,0.99,-0.32
329b09cb581542c9a4e212b0f50d4fb6,1,29,0.42,-0.42,0.48,-0.76,0.61
d91903c67827b87638bae99af4a311e8,0,31,0.15,1.06,0.04,0.74,0.86
6e952044b098afbd5df8b97d8bcab92c,1,33,0.98,0.99,0.29,1.16,-1.19
4e5bc97d95f3aca05d420bfd4e3a2639,0,34,-0.22,-2.05,1.48,0.16,-0.63
2e62df3743f39ee2dd03b5bba3808cc6,1,35,0.52,-0.79,-0.96,1.16,-0.26
d43714638df27ef0966df033b76c76a2,0,28,0.24,1.5,0.54,-0.26,-0.38
b28e249a6f1429924536028f20030641,0,33,-1.52,1.95,1.11,1.24,-0.57
9d1ef7bee1e655a11965996b935feb6e,0,28,-0.22,0.1,-0.33,-0.34,0.67
c2cc94e55aa37b419efc40696175c2aa,0,28,1.35,-1.53,1.23,-0.43,-0.51
16dd2f9d87a94de1045484cfdd62b629,1,35,-0.04,-0.35,0.86,-1.09,1.05
6a47308c22bcd0ae6d732ed3cc5f5ce5,1,35,-0.59,0.62,0.36,-0.34,-0.51
